# Intel microcode versions: CPUID, microcode version, release date.
# Official source: https://downloadcenter.intel.com/download/27337/Linux-Processor-Microcode-Data-File?v=t
#
# From a live Linux system:
#   bsdtar -Oxf /boot/intel-ucode.img | iucode_tool -tb -l - | sed 's/^\s*\S*: sig \(0x[0-9a-f]\+\), pf_mask 0x[0-9a-f]\+, \([0-9-]\+\), rev \(0x[0-9a-f]\+\), size \S\+$/\1 \3 \2/' | column -t
#
# From https://github.com/intel/Intel-Linux-Processor-Microcode-Data-Files:
#   find Intel-Linux-Processor-Microcode-Data-Files-microcode* -type f -exec iucode_tool -tb -l {} \; 2> /dev/null | grep -v -e '^microcode bundle ' -e '^selected microcodes:' | sed 's/^\s*\S*: sig \(0x[0-9a-f]\+\), pf_mask 0x[0-9a-f]\+, \([0-9-]\+\), rev \(0x[0-9a-f]\+\), size \S\+$/\1 \3 \2/' | LANG=C sort | column -t

0x00000611  0x0b27      1996-12-18
0x00000612  0x00c6      1996-12-10
0x00000616  0x00c6      1996-12-10
0x00000617  0x00c6      1996-12-10
0x00000619  0x00d2      1998-02-18
0x00000630  0x0013      1996-08-27
0x00000632  0x0020      1996-09-03
0x00000633  0x0036      1998-09-23
0x00000634  0x0037      1998-09-23
0x00000650  0x0019      1997-12-12
0x00000650  0x0024      1998-01-16
0x00000650  0x002e      1998-02-11
0x00000650  0x002f      1998-02-11
0x00000650  0x0040      1999-05-25
0x00000650  0x0041      1999-05-25
0x00000650  0x0044      1999-05-25
0x00000650  0x0045      1999-05-25
0x00000651  0x0040      1999-05-25
0x00000651  0x0041      1999-05-25
0x00000651  0x0042      1999-05-25
0x00000652  0x002a      1999-05-12
0x00000652  0x002b      1999-05-12
0x00000652  0x002c      1999-05-17
0x00000652  0x002d      1999-05-18
0x00000653  0x000b      1999-05-20
0x00000653  0x000c      1999-05-18
0x00000653  0x000d      1999-05-18
0x00000653  0x0010      1999-06-28
0x00000660  0x000a      1999-05-05
0x00000665  0x0003      1999-05-05
0x0000066a  0x000b      1999-05-05
0x0000066a  0x000c      1999-05-05
0x0000066a  0x000d      1999-05-05
0x0000066d  0x0005      1999-03-12
0x0000066d  0x0006      1999-03-12
0x0000066d  0x0007      1999-05-05
0x00000670  0x0006      1998-05-28
0x00000670  0x0007      1998-06-02
0x00000671  0x0003      1998-08-11
0x00000671  0x0014      1998-08-11
0x00000672  0x0010      1999-09-22
0x00000672  0x0038      1999-09-22
0x00000673  0x000e      1999-09-10
0x00000673  0x002e      1999-09-10
0x00000680  0x0014      1999-06-10
0x00000680  0x0015      1999-06-10
0x00000680  0x0016      1999-06-10
0x00000680  0x0017      1999-06-10
0x00000681  0x000d      1999-09-21
0x00000681  0x000e      1999-09-21
0x00000681  0x000f      1999-09-21
0x00000681  0x0010      1999-09-21
0x00000681  0x0011      1999-09-21
0x00000681  0x0014      1999-12-09
0x00000683  0x0007      1999-10-15
0x00000683  0x0008      1999-10-15
0x00000683  0x0010      2001-02-06
0x00000683  0x0013      2001-02-06
0x00000683  0x0014      2001-02-06
0x00000686  0x0002      2000-05-04
0x00000686  0x0007      2000-05-05
